p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.59084197956979e-54,1.16316137700353,1,1,2.13443268398879e-50,0,NPFR
7.26463091442362e-22,0.690874988843377,0.051,0.38,9.74695529788217e-18,0,Vmat
3.69260675166423e-18,0.276424055740282,0.08,0.404,4.9543704787079e-14,0,Sox21b
8.51753529564524e-15,0.286515283588503,0.086,0.374,1.14279771061672e-10,0,DIP-eta
3.41157844688103e-14,0.318513057822008,0.099,0.39,4.57731480218027e-10,0,Optix
4.67537364736951e-14,0.443946812199593,0.229,0.612,6.27294882267567e-10,0,br
1.22759078208163e-13,0.335713757482977,0.064,0.31,1.64705855231892e-09,0,DIP-zeta
1.98881156321274e-13,0.350174041685545,0.166,0.513,2.66838847436253e-09,0,DIP-kappa
2.58929397899209e-13,0.629724911686227,0.099,0.377,3.47405573161369e-09,0,Dh31
1.0914631809764e-12,0.377343414461211,0.134,0.447,1.46441614991603e-08,0,Cdc42
1.38058186827678e-12,0.3578263481324,0.178,0.519,1.85232669266696e-08,0,Tbh
2.14750126562933e-12,0.536064276422279,0.191,0.556,2.88130244809487e-08,0,bab1
6.72325734407652e-12,0.290258323635466,0.207,0.578,9.02059437854746e-08,0,CG32204
7.29157865762816e-12,0.276019926234413,0.076,0.313,9.7831110849397e-08,0,Hmx
8.95889405384723e-12,0.443070147749217,0.137,0.433,1.20201481520468e-07,0,Lim3
9.54109562443092e-12,0.262692225622205,0.137,0.433,1.2801287999299e-07,0,Rgk2
1.21099427037811e-11,0.251071456310695,0.15,0.455,1.62479101256631e-07,0,Gyc88E
1.35311876563277e-11,0.318330580214092,0.194,0.543,1.81547944784949e-07,0,Dop1R2
1.60210102761292e-11,0.257595357531133,0.156,0.473,2.14953894874826e-07,0,CG8079
3.41489096302828e-11,0.406527451526675,0.962,0.963,4.58175920509504e-07,0,CG10077
4.03426509919764e-11,0.2589534233131,0.137,0.42,5.41277348359347e-07,0,CG8343
5.84736265074037e-11,0.277805360014724,0.076,0.299,7.84540646849836e-07,0,Sf3b2
5.96657211426488e-11,0.339977665875403,0.105,0.353,8.00534980570919e-07,0,CG43689
6.03609433488646e-11,0.274067095993098,0.201,0.543,8.09862776911717e-07,0,AstC-R1
7.73207826507056e-11,0.485212550629268,0.232,0.578,1.03741294082452e-06,0,sNPF
8.54048014925255e-11,0.270455010435053,0.096,0.337,1.14587622162521e-06,0,CG17802
1.41085542623552e-10,0.504988679045171,0.169,0.479,1.8929447253802e-06,0,dac
2.09642925546457e-10,0.31705931531103,0.146,0.433,2.81277913205682e-06,0,CG7518
2.34032609893195e-10,0.300024964046696,0.185,0.505,3.14001552693699e-06,0,ND-MWFE
4.65032997871723e-10,0.281169744595536,0.197,0.527,6.2393477324449e-06,0,ATPsynD
5.86446201934911e-10,0.261831822743505,0.213,0.556,7.8683486913607e-06,0,CG30122
6.03798236356387e-10,0.302671379501189,0.146,0.425,8.10116093719365e-06,0,drl
7.11960497210642e-10,0.338415624330054,0.188,0.5,9.55237399107518e-06,0,5-HT2B
7.28657107776954e-10,0.338136411602154,0.204,0.54,9.77639241504339e-06,0,unc-5
8.36865296575439e-10,0.335855935028066,0.073,0.273,1.12282216841527e-05,0,pb
1.16375151589182e-09,0.296446056426937,0.134,0.393,1.56140540887205e-05,0,CG14024
1.61033342449415e-09,0.420665008771667,0.172,0.46,2.1605843556438e-05,0,AstC-R2
2.30846768435449e-09,0.303905010299027,0.182,0.481,3.09727109209842e-05,0,lncRNA:CR45919
2.39136108047827e-09,0.333535927935782,0.172,0.463,3.20848916167769e-05,0,Vha68-1
2.71977962572679e-09,0.332313206583821,0.223,0.564,3.64912832383763e-05,0,CG43740
4.42241779049627e-09,0.257645694572378,0.096,0.307,5.93355794950885e-05,0,CG12391
4.52340623622814e-09,0.273992599182769,0.137,0.39,6.0690541471473e-05,0,Tom20
5.10433906998057e-09,0.301452153445714,0.217,0.545,6.84849173019294e-05,0,robo3
5.36999735974299e-09,0.373087675140773,0.201,0.503,7.20492545756717e-05,0,DIP-theta
5.64587036554906e-09,0.298070071372228,0.223,0.551,7.57506426945717e-05,0,DIP-gamma
5.97021207862532e-09,0.302592530317566,0.137,0.388,8.01023354589159e-05,0,CG5214
6.21888510089364e-09,0.277017127689186,0.185,0.476,8.34387813986899e-05,0,Tpst
6.80107959464679e-09,0.276858804093545,0.252,0.578,9.1250084921376e-05,0,rn
1.27368868721241e-08,0.257804410670065,0.073,0.257,0.000170890811163289,0,CG5554
1.54503972504841e-08,0.398265809770979,0.185,0.468,0.000207297979909745,0,Drl-2
1.63943102617932e-08,0.257569165210141,0.086,0.275,0.00021996246078248,0,CG15537
1.71039619957191e-08,0.473056322049084,0.411,0.73,0.000229483858096564,0,CG14989
2.13492477060986e-08,0.257135306644388,0.105,0.316,0.000286442856472725,0,Yippee
2.56583948894718e-08,0.296713459472607,0.131,0.361,0.000344258684232043,0,CG9164
3.17671349315695e-08,0.306414177208912,0.191,0.479,0.000426219649376869,0,5-HT1B
3.21766225353359e-08,0.46207315030168,0.994,1,0.000431713744556602,0,lncRNA:Hsromega
3.28158135177563e-08,0.284049305039637,0.166,0.428,0.000440289769967736,0,Zir
3.7445199462612e-08,0.334189379492093,0.223,0.535,0.000502402241189865,0,Nmdar1
3.85452168002652e-08,0.374680720219494,0.522,0.826,0.000517161173809159,0,fru
4.19118468785283e-08,0.27957663031371,0.201,0.497,0.000562331249569215,0,CG18815
6.68645902344576e-08,0.314093429085035,0.248,0.588,0.000897122207175718,0,CkIIalpha
6.81268535617919e-08,0.483685474289799,0.102,0.302,0.000914057994238562,0,CG9123
8.34701010294125e-08,0.267800277654419,0.204,0.492,0.00111991834551163,0,CG8726
8.64786240851359e-08,0.273696390257379,0.255,0.602,0.00116028369935027,0,snRNP-U1-70K
